Location,Number of Copies
"University of Texas at Austin, Harry Ransom Center",56
"University of Toronto, Centre for Renaissance and Reformation Studies",1
"University of Toronto, John W. Graham Library",1
"University of Toronto, Thomas Fisher Library",8
University of Utah,4
University of Vermont,2
University of Virginia,4
"University of Wisconsin, Madison",2
"University of Wisconsin, Milwaukee",2
University of Wroclaw,2
US Library of Congress,10
Utah State University,1
Vassar College,4
Victoria and Albert Museum National Art Library,30
Wake Forest University,2
Walters Art Museum,1
"Waseda University, Tokyo",1
Washington University in St. Louis,1
Wellesley College,9
Wesleyan University,5
West Chester University,5
Western University (Ontario),1
West Virginia University,5
Willamette University,1
"Williams College, Chapin Library",11
William Zachs collection,1
Winchester College,1
"Windsor Castle, Royal Collection Trust",5
Wormsley Library,4
"Württembergische Landesbibliothek, Stuttgart (State Library of Württemberg)",4
"Yale University, Beinecke Library",68
"Yale University, Elizabethan Club",48
"Yale University, Lewis Walpole Library",1
York Minster,1
Zentralbibliothek Zürich (Zurich Central Library),4
