SC #,Bartlett 1939 #,Bartlett 1916 #,Title,Year
639,612,419,The Merchant of Venice,1600
747,728,0,The Merry Wives of Windsor,1619
754,732,518,The Merry Wives of Windsor,1630
624,608,415,The Merchant of Venice,1600
742,724,509,The Merry Wives of Windsor,1619
1389,1149,0,Romeo and Juliet,1637
759,737,517,The Merry Wives of Windsor,1630
763,738,522,The Merry Wives of Windsor,1630
712,689,482,The Merry Wives of Windsor,1602
745,719,512,The Merry Wives of Windsor,1619
739,698,488,The Merry Wives of Windsor,1619
749,705,495,The Merry Wives of Windsor,1619
752,706,496,The Merry Wives of Windsor,1619
718,701,491,The Merry Wives of Windsor,1619
1528,1194,865,Titus Andronicus,1611
1533,1200,875,Titus Andronicus,1611
1535,1201,871,Titus Andronicus,1611
1537,1196,866,Titus Andronicus,1611
1381,1137,817,Romeo and Juliet,1637
667,645,0,The Merchant of Venice,1619
664,648,446,The Merchant of Venice,1619
669,632,433,The Merchant of Venice,1619
1525,1190,860,Titus Andronicus,1600
593,584,402,Love's Labors Lost,1631
647,631,432,The Merchant of Venice,1619
1524,1189,861,Titus Andronicus,1600
655,640,440,The Merchant of Venice,1619
648,633,434,The Merchant of Venice,1619
1377,1134,816,Romeo and Juliet,1623
813,789,572,Much Ado About Nothing,1600
1378,1135,814,Romeo and Juliet,1623
659,625,428,The Merchant of Venice,1619
1391,1148,827,Romeo and Juliet,1637
1373,1131,811,Romeo and Juliet,1623
690,670,465,The Merchant of Venice,1637
604,585,0,Love's Labors Lost,1631
686,668,464,The Merchant of Venice,1637
807,781,561,Much Ado About Nothing,1600
1347,1104,788,Romeo and Juliet,1597
682,687,467,The Merchant of Venice,1637
817,779,558,Much Ado About Nothing,1600
835,796,573,Othello,1622
840,804,579,Othello,1622
821,785,564,Much Ado About Nothing,1600
582,571,385,Love's Labors Lost,1631
827,803,578,Othello,1622
830,807,585,Othello,1622
868,848,608,Othello,1630
864,815,586,Othello,1630
857,836,598,Othello,1630
1364,1121,803,Romeo and Juliet,1609
598,589,398,Love's Labors Lost,1631
387.1,393,0,Julius Caesar,1684
576,564,380,Love's Labors Lost,1598
176,140,95,Hamlet,1695
1268,1032,731,Richard III,1598
35,8,0,Hamlet,1605
660,642,442,The Merchant of Venice,1619
834,810,583,Othello,1622
822,787,566,Much Ado About Nothing,1600
743,725,510,The Merry Wives of Windsor,1619
643,628,431,The Merchant of Venice,1619
1362,1120,802,Romeo and Juliet,1609
1399,1158,0,Romeo and Juliet,1637
833,811,0,Othello,1622
814,791,568,Much Ado About Nothing,1600
803,774,537,A Midsummer Night's Dream,1619
1306,1069,761,Richard III,1629
632,618,423,The Merchant of Venice,1600
1494,1183,885,The Taming of a/the Shrew,1631
275,286,192,1 Henry IV,1639
865,838,601,Othello,1630
52,24,17,Hamlet,1611
1544,1209,878,Troilus and Cressida,1609
1329,1091,777,Richard III,1634
789.5,776,539,A Midsummer Night's Dream,1619
836.5,801,0,Othello,1622
246,260,169,1 Henry IV,1632
662.5,652,0,The Merchant of Venice,1619
1478,1182,0,The Taming of a/the Shrew,1631
783,764,545,A Midsummer Night's Dream,1619
1301,1062,0,Richard III,1622
591,582,394,Love's Labors Lost,1631
681,666,0,The Merchant of Venice,1637
96.5,68,55,Hamlet,1637
1287,1049,0,Richard III,1612
750,729,514,The Merry Wives of Windsor,1619
1225,991,698,Richard II,1615
73,46,0,Hamlet,1625
97,76,0,Hamlet,1637
859.5,845,0,Othello,1630
311,352,234,Henry V,1602
157,114,0,Hamlet,1683
1275,1036,735,Richard III,1602
161,117,89,Hamlet,1683
213,231,142,1 Henry IV,1608
166,134,94,Hamlet,1695
854,830,0,Othello,1630
169,154,0,Hamlet,1695
247,262,171,1 Henry IV,1632
290,330,214,2 Henry IV,1600
735,0,502,The Merry Wives of Windsor,1619
580,565,0,Love's Labors Lost,1598
1335,1096,781,Richard III,1634
869,844,605,Othello,1630
1390,1147,829,Romeo and Juliet,1637
177,141,96,Hamlet,1695
1496,1186,0,The Taming of a/the Shrew,1631
288,332,0,2 Henry IV,1600
641,624,0,The Merchant of Venice,1619
298,342,224,2 Henry IV,1600
1264,1024,724,Richard III,1597
1354,1113,797,Romeo and Juliet,1599
171,152,0,Hamlet,1695
728,714,0,The Merry Wives of Windsor,1619
119.05,92,68,Hamlet,1676
395,470,0,Julius Caesar,1695
1286,1048,744,Richard III,1612
1475,1167,840,The Taming of a/the Shrew,1631
850,825,593,Othello,1630
1482,1174,846,The Taming of a/the Shrew,1631
692,688,462,The Merchant of Venice,1637
701,681,481,The Merchant of Venice,1652
425,442,314,Julius Caesar,1691
483,505,0,King Lear,1608
334,378,256,Henry V,1619
702,682,478,The Merchant of Venice,1652
737,727,492,The Merry Wives of Windsor,1619
191,206,121,1 Henry IV,1598
767,745,530,A Midsummer Night's Dream,1600
306,349,231,Henry V,1600
573,583,393,Love's Labors Lost,1598
292,336,221,2 Henry IV,1600
334.5,374,0,Henry V,1619
886,867,0,Othello,1655
31,5,5,Hamlet,1604
863,821,590,Othello,1630
655.5,638,0,The Merchant of Venice,1619
678,665,0,The Merchant of Venice,1637
1280,1044,0,Richard III,1605
194,208,123,1 Henry IV,1598
1380,1132,812,Romeo and Juliet,1623
299,341,223,2 Henry IV,1600
1351,1110,798,Romeo and Juliet,1599
1213,979,0,Richard II,1608
768,746,531,A Midsummer Night's Dream,1600
478,503,327,King Lear,1608
1216,982,687,Richard II,1608
1365,1123,805,Romeo and Juliet,1609
898,866,622,Othello,1655
1228,999,701,Richard II,1615
1532,1199,870,Titus Andronicus,1611
801,754,547,A Midsummer Night's Dream,1619
831,808,582,Othello,1622
257,272,180,1 Henry IV,1639
1212,985,690,Richard II,1608
285,329,215,2 Henry IV,1600
273,294,0,1 Henry IV,1639
654,651,450,The Merchant of Venice,1619
71,42,31,Hamlet,1625
94.5,72,0,Hamlet,1637
651,637,444,The Merchant of Venice,1619
784,762,553,A Midsummer Night's Dream,1619
302,337,222,2 Henry IV,1600
1558,1208,877,Troilus and Cressida,1609
70,40,35,Hamlet,1625
388,394,0,Julius Caesar,1684
101,55,43,Hamlet,1637
46,23,20,Hamlet,1611
810,790,569,Much Ado About Nothing,1600
321,390,263,Henry V,1619
350,386,255,Henry V,1619
867,819,604,Othello,1630
62,35,29,Hamlet,1625
1269,1033,732,Richard III,1598
1206,973,681,Richard II,1598
777,772,551,A Midsummer Night's Dream,1619
1361,1109,794,Romeo and Juliet,1599
308,347,230,Henry V,1600
771,744,529,A Midsummer Night's Dream,1600
54,17,14,Hamlet,1611
29,2,2,Hamlet,1603
56,29,24,Hamlet,1625
512,537,0,King Lear,1619
351,388,241,Henry V,1619
1256,1002,706,Richard II,1634
349,385,254,Henry V,1619
96,74,54,Hamlet,1637
335.5,376,0,Henry V,1619
55,27,0,Hamlet,1611
838,812,0,Othello,1622
1234,996,695,Richard II,1615
32,3,3,Hamlet,1604
1197,963,672,Richard II,1597
668,644,438,The Merchant of Venice,1619
516,532,344,King Lear,1619
494,521,325,King Lear,1619
721,708,498,The Merry Wives of Windsor,1619
274.5,269,177,1 Henry IV,1639
1403.3,1159,833,Romeo and Juliet,1637
815,793,560,Much Ado About Nothing,1600
42,19,16,Hamlet,1611
235,250,161,1 Henry IV,1622
571,560,378,Love's Labors Lost,1598
677,663,458,The Merchant of Venice,1637
1523,1188,859,Titus Andronicus,1594
1346,1103,0,Romeo and Juliet,1597
572,561,377,Love's Labors Lost,1598
199,215,133,1 Henry IV,1599
1353,1112,795,Romeo and Juliet,1599
294,338,225,2 Henry IV,1600
1531,1198,868,Titus Andronicus,1611
305,348,232,Henry V,1600
628,614,421,The Merchant of Venice,1600
710,691,485,The Merry Wives of Windsor,1602
30,4,4,Hamlet,1604
211,229,141,1 Henry IV,1608
476,501,326,King Lear,1608
44,20,18,Hamlet,1611
1288,1050,0,Richard III,1612
325,369,253,Henry V,1619
328,368,262,Henry V,1619
498,524,341,King Lear,1619
652,634,0,The Merchant of Venice,1619
727,710,0,The Merry Wives of Windsor,1619
724,709,506,The Merry Wives of Windsor,1619
1376,1133,813,Romeo and Juliet,1623
63,34,28,Hamlet,1625
587,578,392,Love's Labors Lost,1631
1240,1010,714,Richard II,1634
85,62,48,Hamlet,1637
1394,1152,826,Romeo and Juliet,1637
260,276,183,1 Henry IV,1639
93.5,71,59,Hamlet,1637
864.5,839,602,Othello,1630
778,757,540,A Midsummer Night's Dream,1619
811,786,565,Much Ado About Nothing,1600
41,16,13,Hamlet,1611
570,559,376,Love's Labors Lost,1598
1224,990,697,Richard II,1615
1370,1127,808,Romeo and Juliet,1623
756,734,520,The Merry Wives of Windsor,1630
585,576,390,Love's Labors Lost,1631
674,659,456,The Merchant of Venice,1637
1387,1144,823,Romeo and Juliet,1637
