SC #,Bartlett 1939 #,Bartlett 1916 #,Title,Year
879,871,0,Othello,1655
108,94,0,Hamlet,1676
1530,1202,0,Titus Andronicus,1611
720,703,0,The Merry Wives of Windsor,1619
819,783,570,Much Ado About Nothing,1600
1355,1114,800,Romeo and Juliet,1599
1495,1171,0,The Taming of a/the Shrew,1631
99,56,44,Hamlet,1637
741,716,0,The Merry Wives of Windsor,1619
921,887,633,Othello,1681
339,361,0,Henry V,1619
410,428,0,Julius Caesar,1691
407,426,0,Julius Caesar,1691
658,630,437,The Merchant of Venice,1619
1248,1005,711,Richard II,1634
1342,1090,776,Richard III,1634
772,749,0,A Midsummer Night's Dream,1619
484,508,0,King Lear,1619
688,653,0,The Merchant of Venice,1637
875,855,615,Othello,1655
408,430,312,Julius Caesar,1691
713,693,0,The Merry Wives of Windsor,1602
884,864,0,Othello,1655
1254,1008,712,Richard II,1634
1540,1206,0,Titus Andronicus,1611
1401,1142,0,Romeo and Juliet,1637
227,243,0,1 Henry IV,1613
482,507,0,King Lear,1608
740,720,504,The Merry Wives of Windsor,1619
574,562,382,Love's Labors Lost,1598
1359,1118,0,Romeo and Juliet,1599
798,777,554,A Midsummer Night's Dream,1619
519,517,338,King Lear,1619
889,869,624,Othello,1655
159,131,0,Hamlet,1683
114,96,0,Hamlet,1676
1479,1187,857,The Taming of a/the Shrew,1631
981,938,0,Othello,1695
578,558,379,Love's Labors Lost,1598
862,820,600,Othello,1630
890,858,0,Othello,1655
904,880,632,Othello,1681
522,543,362,King Lear,1655
909,883,638,Othello,1681
922,888,0,Othello,1681
929,893,0,Othello,1687
925,890,639,Othello,1687
1233,998,0,Richard II,1615
163,132,92,Hamlet,1683
312,354,0,Henry V,1619
928,892,641,Othello,1687
966,928,653,Othello,1695
661,622,0,The Merchant of Venice,1619
940,899,645,Othello,1687
694,673,468,The Merchant of Venice,1652
942,905,643,Othello,1687
527,547,366,King Lear,1655
944,907,0,Othello,1687
530,551,361,King Lear,1655
662,650,449,The Merchant of Venice,1619
533,552,370,King Lear,1655
960,926,0,Othello,1695
965,930,658,Othello,1695
967,931,654,Othello,1695
309,353,235,Henry V,1602
837,800,0,Othello,1622
973,940,0,Othello,1695
974,935,0,Othello,1695
1538,1195,873,Titus Andronicus,1611
579,556,373,Love's Labors Lost,1598
842,817,588,Othello,1630
51,14,0,Hamlet,1611
672,657,454,The Merchant of Venice,1637
594,586,396,Love's Labors Lost,1631
156,120,90,Hamlet,1683
53,15,12,Hamlet,1611
172,139,97,Hamlet,1695
154,125,91,Hamlet,1683
117,82,63,Hamlet,1676
40,26,21,Hamlet,1611
60,47,36,Hamlet,1625
179,144,0,Hamlet,1695
601,588,397,Love's Labors Lost,1631
175,142,0,Hamlet,1695
45,21,22,Hamlet,1611
1318,1081,0,Richard III,1629
603,573,400,Love's Labors Lost,1631
615,600,410,Macbeth,1673
47,22,19,Hamlet,1611
605,593,0,Love's Labors Lost,1631
1552,1220,883,Troilus and Cressida,1609
34,7,7,Hamlet,1605
617,603,0,Macbeth,1673
48,25,0,Hamlet,1611
683,667,463,The Merchant of Venice,1637
91,70,57,Hamlet,1637
111,86,69,Hamlet,1676
144,124,85,Hamlet,1683
1556,1214,881,Troilus and Cressida,1609
120,100,74,Hamlet,1676
165,133,93,Hamlet,1695
230,245,156,1 Henry IV,1622
104,81,62,Hamlet,1676
115,95,0,Hamlet,1676
88,65,61,Hamlet,1637
220,241,0,1 Henry IV,1613
462,481,294,Julius Caesar,1695
477,502,330,King Lear,1608
729,715,513,The Merry Wives of Windsor,1619
392,398,271,Julius Caesar,1684
406,429,0,Julius Caesar,1691
452,467,0,Julius Caesar,1695
335,389,0,Henry V,1619
525,546,365,King Lear,1655
626,621,426,The Merchant of Venice,1600
939,897,642,Othello,1687
959,925,0,Othello,1695
121,89,0,Hamlet,1676
730,718,503,The Merry Wives of Windsor,1619
843,818,589,Othello,1630
836,809,0,Othello,1622
804,758,541,A Midsummer Night's Dream,1619
676,661,459,The Merchant of Venice,1637
695,686,480,The Merchant of Venice,1652
964,924,0,Othello,1695
698,679,474,The Merchant of Venice,1652
1308,1072,0,Richard III,1629
1485,1178,851,The Taming of a/the Shrew,1631
732,704,493,The Merry Wives of Windsor,1619
58,30,25,Hamlet,1625
699,680,475,The Merchant of Venice,1652
693,674,469,The Merchant of Venice,1652
481,497,322,King Lear,1608
536,553,368,King Lear,1655
64,36,37,Hamlet,1625
67,41,34,Hamlet,1625
1313,1075,768,Richard III,1629
823,797,574,Othello,1622
633,610,417,The Merchant of Venice,1600
61,33,30,Hamlet,1625
700,678,473,The Merchant of Venice,1652
68,28,23,Hamlet,1625
634,619,425,The Merchant of Venice,1600
93,50,38,Hamlet,1637
146,115,83,Hamlet,1683
77,52,40,Hamlet,1637
184,149,101,Hamlet,1695
874,854,613,Othello,1655
846,847,606,Othello,1630
201,216,134,1 Henry IV,1599
203,210,125,1 Henry IV,1599
185,151,100,Hamlet,1695
192,207,122,1 Henry IV,1598
208,220,136,1 Henry IV,1604
212,230,144,1 Henry IV,1608
215,226,143,1 Henry IV,1608
1493,1165,838,The Taming of a/the Shrew,1631
236,253,164,1 Henry IV,1622
216,224,138,1 Henry IV,1608
207,221,129,1 Henry IV,1604
224,239,152,1 Henry IV,1613
218,233,146,1 Henry IV,1613
225,240,153,1 Henry IV,1613
313,355,236,Henry V,1619
228,239,0,1 Henry IV,1613
243,258,168,1 Henry IV,1632
251,265,176,1 Henry IV,1632
704,684,477,The Merchant of Venice,1652
287,326,227,2 Henry IV,1600
237,255,165,1 Henry IV,1622
635,604,411,The Merchant of Venice,1600
705,683,476,The Merchant of Venice,1652
403.5,447,319,Julius Caesar,1691
1476,1169,842,The Taming of a/the Shrew,1631
1490,1173,845,The Taming of a/the Shrew,1631
1489,1182,854,The Taming of a/the Shrew,1631
1488,1181,858,The Taming of a/the Shrew,1631
268,283,195,1 Henry IV,1639
269,285,191,1 Henry IV,1639
640,623,0,The Merchant of Venice,1619
274,270,178,1 Henry IV,1639
